Epoch,Model,Accuracy,Precision,Recall,F1,AUC,LR
0,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9466,0.7062,0.8682,0.7268,0.9833,0.0001
1,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9637,0.7335,0.8634,0.7591,0.9865,9.997532801828658e-05
2,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9699,0.749,0.8619,0.7749,0.9855,9.990133642141359e-05
3,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9762,0.7703,0.8587,0.7939,0.9824,9.977809823015401e-05
4,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9726,0.7572,0.861,0.7825,0.9671,9.960573506572391e-05
5,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9739,0.7612,0.8561,0.7853,0.9805,9.93844170297569e-05
6,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9598,0.7248,0.8585,0.7489,0.9676,9.911436253643445e-05
7,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9853,0.8247,0.7542,0.7844,0.9429,9.879583809693738e-05
8,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9843,0.8132,0.8507,0.8246,0.9719,9.842915805643157e-05
9,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9852,0.8239,0.8243,0.8214,0.975,9.801468428384717e-05
10,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9851,0.8135,0.7969,0.797,0.9662,9.75528258147577e-05
11,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9835,0.8092,0.8362,0.8168,0.9791,9.70440384477113e-05
12,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9848,0.8234,0.8117,0.8156,0.9828,9.64888242944126e-05
13,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9877,0.8599,0.7984,0.8272,0.9826,9.588773128419907e-05
14,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9782,0.7434,0.854,0.7835,0.9873,9.5241352623301e-05
15,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9868,0.8925,0.7357,0.795,0.9846,9.455032620941843e-05
16,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9761,0.7694,0.8515,0.7914,0.9791,9.381533400219321e-05
