Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.9978571428571429,0.9475469138593715,0.9720514902006263,0.9767,0.2634920634920635,0.907103825136612,0.4083640836408364,0.9769,0.8571428571428571,0.75,0.7999999999999999,0.9965,0.9466,0.7062,0.8682,0.7268,0.9833
1,0.9970821661998133,0.9657472303866155,0.9811645802228093,0.9797,0.3463203463203463,0.8743169398907104,0.496124031007752,0.9802,0.8571428571428571,0.75,0.7999999999999999,0.9996,0.9637,0.7335,0.8634,0.7591,0.9865
2,0.9968706536856745,0.972303866154194,0.9844340162527183,0.9797,0.39303482587064675,0.8633879781420765,0.5401709401709401,0.9803,0.8571428571428571,0.75,0.7999999999999999,0.9965,0.9699,0.749,0.8619,0.7749,0.9855
3,0.9965481532619952,0.9790865928103097,0.9877402064207106,0.9762,0.45722713864306785,0.8469945355191257,0.5938697318007662,0.9754,0.8571428571428571,0.75,0.7999999999999999,0.9956,0.9762,0.7703,0.8587,0.7939,0.9824
4,0.9967645019644095,0.9751300022609088,0.9858285714285715,0.9618,0.4175531914893617,0.8579234972677595,0.5617173524150268,0.9641,0.8571428571428571,0.75,0.7999999999999999,0.9753,0.9726,0.7572,0.861,0.7825,0.9671
5,0.9964252767527675,0.9768256839249378,0.9865281424820185,0.9776,0.4301675977653631,0.8415300546448088,0.5693160813308688,0.9781,0.8571428571428571,0.75,0.7999999999999999,0.9859,0.9739,0.7612,0.8561,0.7853,0.9805
6,0.9968372964741713,0.9620167307257518,0.9791175286199161,0.977,0.3204868154158215,0.8633879781420765,0.4674556213017752,0.9794,0.8571428571428571,0.75,0.7999999999999999,0.9463,0.9598,0.7248,0.8585,0.7489,0.9676
7,0.9923155158775003,0.9926520461225412,0.9924837524724499,0.9715,0.6483516483516484,0.644808743169399,0.6465753424657534,0.975,0.8333333333333334,0.625,0.7142857142857143,0.8821,0.9853,0.8247,0.7542,0.7844,0.9429
8,0.995897903372835,0.9880171829075288,0.9919418908182953,0.972,0.5866141732283464,0.8142076502732241,0.6819221967963386,0.9764,0.8571428571428571,0.75,0.7999999999999999,0.9672,0.9843,0.8132,0.8507,0.8246,0.9719
9,0.994213750850919,0.9906172281257065,0.9924122310305775,0.9788,0.6203703703703703,0.73224043715847,0.6716791979949875,0.981,0.8571428571428571,0.75,0.7999999999999999,0.9653,0.9852,0.8239,0.8243,0.8214,0.975
10,0.9949994317536084,0.9897128645715577,0.9923491073958628,0.9734,0.6120689655172413,0.7759562841530054,0.6843373493975903,0.9753,0.8333333333333334,0.625,0.7142857142857143,0.95,0.9851,0.8135,0.7969,0.797,0.9662
