Epoch,Model,Accuracy,Precision,Recall,F1,AUC,LR
0,inception_next_small.sail_in1k,0.9648,0.6726,0.8602,0.73,0.9813,0.0001
1,inception_next_small.sail_in1k,0.9853,0.8245,0.8261,0.8225,0.9785,9.997532801828658e-05
2,inception_next_small.sail_in1k,0.9883,0.8708,0.7932,0.8289,0.9714,9.990133642141359e-05
3,inception_next_small.sail_in1k,0.9825,0.8026,0.8323,0.811,0.9525,9.977809823015401e-05
4,inception_next_small.sail_in1k,0.9794,0.7837,0.817,0.7927,0.9664,9.960573506572391e-05
5,inception_next_small.sail_in1k,0.9744,0.7626,0.8492,0.785,0.9483,9.93844170297569e-05
6,inception_next_small.sail_in1k,0.9836,0.8097,0.8398,0.8184,0.9661,9.911436253643445e-05
7,inception_next_small.sail_in1k,0.9861,0.8773,0.8299,0.8462,0.965,9.879583809693738e-05
8,inception_next_small.sail_in1k,0.9814,0.7876,0.8153,0.7853,0.9805,9.842915805643157e-05
9,inception_next_small.sail_in1k,0.9847,0.819,0.8313,0.8212,0.9668,9.801468428384717e-05
10,inception_next_small.sail_in1k,0.9754,0.8147,0.862,0.8108,0.9645,9.75528258147577e-05
11,inception_next_small.sail_in1k,0.9875,0.9057,0.793,0.8424,0.9748,9.70440384477113e-05
12,inception_next_small.sail_in1k,0.9883,0.8838,0.7754,0.8223,0.9564,9.64888242944126e-05
13,inception_next_small.sail_in1k,0.9871,0.8892,0.8214,0.849,0.9494,9.588773128419907e-05
14,inception_next_small.sail_in1k,0.9847,0.8204,0.8224,0.8185,0.9703,9.5241352623301e-05
15,inception_next_small.sail_in1k,0.979,0.7816,0.8311,0.7957,0.9672,9.455032620941843e-05
16,inception_next_small.sail_in1k,0.9865,0.8347,0.8301,0.8301,0.974,9.381533400219321e-05
17,inception_next_small.sail_in1k,0.9845,0.8183,0.8241,0.8179,0.9427,9.303710135019722e-05
18,inception_next_small.sail_in1k,0.9865,0.8466,0.7926,0.818,0.9496,9.22163962751008e-05
19,inception_next_small.sail_in1k,0.9858,0.8364,0.7995,0.8168,0.9665,9.135402871372814e-05
20,inception_next_small.sail_in1k,0.9884,0.8682,0.8004,0.8319,0.9151,9.045084971874742e-05
21,inception_next_small.sail_in1k,0.9823,0.8005,0.8447,0.8137,0.94,8.950775061878456e-05
22,inception_next_small.sail_in1k,0.9813,0.7872,0.801,0.7807,0.9744,8.852566213878951e-05
23,inception_next_small.sail_in1k,0.9876,0.885,0.7121,0.781,0.9383,8.750555348152303e-05
24,inception_next_small.sail_in1k,0.9856,0.8405,0.7798,0.8082,0.9596,8.644843137107063e-05
25,inception_next_small.sail_in1k,0.9851,0.8156,0.7844,0.7933,0.9665,8.535533905932742e-05
26,inception_next_small.sail_in1k,0.9877,0.8438,0.7151,0.767,0.9491,8.422735529643448e-05
27,inception_next_small.sail_in1k,0.9885,0.8623,0.7606,0.8053,0.9498,8.306559326618263e-05
28,inception_next_small.sail_in1k,0.9873,0.8833,0.7067,0.7763,0.9402,8.187119948743452e-05
29,inception_next_small.sail_in1k,0.9873,0.8475,0.8143,0.8297,0.9499,8.064535268264887e-05
30,inception_next_small.sail_in1k,0.9872,0.8914,0.7417,0.7885,0.9436,7.938926261462371e-05
31,inception_next_small.sail_in1k,0.9872,0.8914,0.7798,0.821,0.9133,7.810416889260659e-05
32,inception_next_small.sail_in1k,0.9883,0.9344,0.7302,0.8107,0.9541,7.679133974894988e-05
