Epoch,Model,Accuracy,Precision,Recall,F1,AUC,LR
33,inception_next_small.sail_in1k,0.9877,0.9004,0.8109,0.8496,0.9552,7.545207078751862e-05
34,inception_next_small.sail_in1k,0.9876,0.9051,0.7585,0.8169,0.9377,7.408768370508582e-05
35,inception_next_small.sail_in1k,0.9872,0.849,0.8071,0.8268,0.9697,7.26995249869774e-05
36,inception_next_small.sail_in1k,0.9879,0.9287,0.6902,0.7757,0.9601,7.12889645782537e-05
37,inception_next_small.sail_in1k,0.988,0.8635,0.8003,0.8299,0.972,6.985739453173908e-05
38,inception_next_small.sail_in1k,0.9868,0.8978,0.791,0.8377,0.9551,6.840622763423397e-05
39,inception_next_small.sail_in1k,0.9871,0.8347,0.7833,0.8037,0.9446,6.693689601226464e-05
40,inception_next_small.sail_in1k,0.9882,0.8803,0.7771,0.8223,0.961,6.545084971874744e-05
41,inception_next_small.sail_in1k,0.9887,0.8978,0.7232,0.7932,0.9626,6.394955530196154e-05
42,inception_next_small.sail_in1k,0.9874,0.8488,0.8143,0.8304,0.9489,6.24344943582428e-05
43,inception_next_small.sail_in1k,0.9885,0.863,0.8129,0.8365,0.9734,6.0907162069827195e-05
44,inception_next_small.sail_in1k,0.9892,0.9369,0.7466,0.8226,0.926,5.93690657292863e-05
45,inception_next_small.sail_in1k,0.9884,0.8501,0.7207,0.7729,0.937,5.7821723252011606e-05
46,inception_next_small.sail_in1k,0.9883,0.8634,0.7534,0.8016,0.9674,5.6266661678215284e-05
47,inception_next_small.sail_in1k,0.9878,0.8529,0.7027,0.7633,0.9426,5.470541566592577e-05
48,inception_next_small.sail_in1k,0.9872,0.8418,0.7042,0.7598,0.9391,5.313952597646573e-05
49,inception_next_small.sail_in1k,0.9887,0.8814,0.7393,0.7995,0.937,5.1570537953906474e-05
50,inception_next_small.sail_in1k,0.9866,0.8273,0.7201,0.7621,0.9374,5.0000000000000057e-05
51,inception_next_small.sail_in1k,0.9878,0.8579,0.6956,0.7607,0.9377,4.842946204609364e-05
52,inception_next_small.sail_in1k,0.9886,0.8845,0.6833,0.761,0.9516,4.686047402353438e-05
53,inception_next_small.sail_in1k,0.9886,0.8544,0.7785,0.8114,0.9673,4.529458433407433e-05
FINALTEST,inception_next_small.sail_in1k,0.9861,0.8293,0.695,0.7491,0.933,4.529458433407433e-05
