Epoch,Model,Accuracy,Precision,Recall,F1,AUC,LR
0,inception_next_small.sail_in1k,0.9872,0.8483,0.8089,0.8274,0.9809,0.0001
1,inception_next_small.sail_in1k,0.9835,0.8101,0.8273,0.8141,0.9796,9.997532801828658e-05
2,inception_next_small.sail_in1k,0.983,0.7716,0.8217,0.7936,0.9501,9.990133642141359e-05
3,inception_next_small.sail_in1k,0.9832,0.7714,0.8432,0.8012,0.979,9.977809823015401e-05
4,inception_next_small.sail_in1k,0.972,0.7483,0.8246,0.7541,0.9739,9.960573506572391e-05
5,inception_next_small.sail_in1k,0.9865,0.8334,0.8354,0.8316,0.9331,9.93844170297569e-05
6,inception_next_small.sail_in1k,0.9868,0.8493,0.7963,0.8212,0.9561,9.911436253643445e-05
7,inception_next_small.sail_in1k,0.9822,0.8002,0.8375,0.8111,0.9583,9.879583809693738e-05
8,inception_next_small.sail_in1k,0.9804,0.7896,0.8191,0.7976,0.9702,9.842915805643157e-05
9,inception_next_small.sail_in1k,0.9858,0.8829,0.7615,0.8077,0.9268,9.801468428384717e-05
10,inception_next_small.sail_in1k,0.9853,0.8418,0.7655,0.8003,0.9342,9.75528258147577e-05
11,inception_next_small.sail_in1k,0.9883,0.8637,0.8057,0.833,0.942,9.70440384477113e-05
12,inception_next_small.sail_in1k,0.9872,0.866,0.7732,0.8145,0.9281,9.64888242944126e-05
13,inception_next_small.sail_in1k,0.9858,0.8338,0.8085,0.8198,0.8942,9.588773128419907e-05
14,inception_next_small.sail_in1k,0.9878,0.9088,0.7431,0.8052,0.9199,9.5241352623301e-05
15,inception_next_small.sail_in1k,0.985,0.8237,0.8153,0.8174,0.9757,9.455032620941843e-05
16,inception_next_small.sail_in1k,0.9879,0.8649,0.7949,0.8274,0.9739,9.381533400219321e-05
17,inception_next_small.sail_in1k,0.9877,0.8599,0.7984,0.8272,0.9572,9.303710135019722e-05
18,inception_next_small.sail_in1k,0.9867,0.8064,0.8159,0.811,0.9702,9.22163962751008e-05
19,inception_next_small.sail_in1k,0.9866,0.9434,0.6868,0.7793,0.9652,9.135402871372814e-05
20,inception_next_small.sail_in1k,0.9843,0.7837,0.8115,0.7966,0.9302,9.045084971874742e-05
21,inception_next_small.sail_in1k,0.9868,0.8677,0.7624,0.808,0.9693,8.950775061878456e-05
22,inception_next_small.sail_in1k,0.9875,0.9198,0.7698,0.8335,0.9774,8.852566213878951e-05
23,inception_next_small.sail_in1k,0.9875,0.9095,0.7858,0.8398,0.9794,8.750555348152303e-05
24,inception_next_small.sail_in1k,0.9877,0.928,0.7645,0.8327,0.9783,8.644843137107063e-05
25,inception_next_small.sail_in1k,0.9872,0.8964,0.7274,0.7841,0.9102,8.535533905932742e-05
26,inception_next_small.sail_in1k,0.9864,0.8975,0.7783,0.8304,0.9815,8.422735529643448e-05
27,inception_next_small.sail_in1k,0.9872,0.8964,0.7393,0.799,0.9649,8.306559326618263e-05
28,inception_next_small.sail_in1k,0.9872,0.8684,0.7697,0.8131,0.9582,8.187119948743452e-05
29,inception_next_small.sail_in1k,0.9877,0.9265,0.7663,0.8335,0.9727,8.064535268264887e-05
30,inception_next_small.sail_in1k,0.9875,0.9204,0.7299,0.8057,0.9698,7.938926261462371e-05
31,inception_next_small.sail_in1k,0.9871,0.8654,0.7714,0.8131,0.959,7.810416889260659e-05
32,inception_next_small.sail_in1k,0.988,0.8582,0.811,0.8333,0.9747,7.679133974894988e-05
33,inception_next_small.sail_in1k,0.9867,0.8299,0.7885,0.8034,0.9698,7.545207078751862e-05
34,inception_next_small.sail_in1k,0.9877,0.8491,0.7657,0.8022,0.9708,7.408768370508582e-05
35,inception_next_small.sail_in1k,0.9888,0.891,0.7792,0.8274,0.9749,7.26995249869774e-05
36,inception_next_small.sail_in1k,0.9879,0.8886,0.7628,0.8151,0.9488,7.12889645782537e-05
37,inception_next_small.sail_in1k,0.9886,0.8825,0.7357,0.7974,0.9747,6.985739453173908e-05
38,inception_next_small.sail_in1k,0.9892,0.9321,0.7918,0.8524,0.9775,6.840622763423397e-05
39,inception_next_small.sail_in1k,0.9882,0.9117,0.7605,0.8209,0.9606,6.693689601226464e-05
40,inception_next_small.sail_in1k,0.9874,0.8154,0.7662,0.783,0.9563,6.545084971874744e-05
41,inception_next_small.sail_in1k,0.9863,0.8384,0.8086,0.8223,0.9759,6.394955530196154e-05
42,inception_next_small.sail_in1k,0.9864,0.879,0.8354,0.8495,0.9642,6.24344943582428e-05
43,inception_next_small.sail_in1k,0.9884,0.9104,0.8075,0.8526,0.978,6.0907162069827195e-05
44,inception_next_small.sail_in1k,0.9876,0.9102,0.7877,0.8411,0.9745,5.93690657292863e-05
45,inception_next_small.sail_in1k,0.9889,0.9256,0.7173,0.7918,0.9433,5.7821723252011606e-05
46,inception_next_small.sail_in1k,0.9877,0.9128,0.7859,0.8412,0.9128,5.6266661678215284e-05
47,inception_next_small.sail_in1k,0.9883,0.9226,0.7843,0.844,0.9761,5.470541566592577e-05
48,inception_next_small.sail_in1k,0.9875,0.9362,0.6723,0.7653,0.9378,5.313952597646573e-05
49,inception_next_small.sail_in1k,0.9869,0.8499,0.7981,0.8225,0.9038,5.1570537953906474e-05
50,inception_next_small.sail_in1k,0.9878,0.8831,0.7663,0.8158,0.9072,5.0000000000000057e-05
51,inception_next_small.sail_in1k,0.9865,0.8481,0.7891,0.8167,0.9031,4.842946204609364e-05
52,inception_next_small.sail_in1k,0.9884,0.9345,0.7719,0.84,0.9065,4.686047402353438e-05
53,inception_next_small.sail_in1k,0.9876,0.8925,0.7526,0.794,0.9102,4.529458433407433e-05
54,inception_next_small.sail_in1k,0.9879,0.9246,0.6956,0.7778,0.9375,4.3733338321784836e-05
55,inception_next_small.sail_in1k,0.9888,0.9469,0.7684,0.8416,0.9388,4.21782767479885e-05
56,inception_next_small.sail_in1k,0.988,0.8697,0.7896,0.8262,0.9242,4.0630934270713814e-05
57,inception_next_small.sail_in1k,0.9876,0.9191,0.7734,0.8357,0.9096,3.909283793017293e-05
58,inception_next_small.sail_in1k,0.9894,0.9592,0.7686,0.8454,0.9306,3.75655056417573e-05
59,inception_next_small.sail_in1k,0.9884,0.9495,0.7177,0.8062,0.9334,3.605044469803859e-05
60,inception_next_small.sail_in1k,0.9895,0.9442,0.7847,0.8522,0.9351,3.454915028125269e-05
61,inception_next_small.sail_in1k,0.989,0.8845,0.7917,0.8333,0.9427,3.3063103987735474e-05
62,inception_next_small.sail_in1k,0.9889,0.9445,0.6941,0.7838,0.9015,3.159377236576616e-05
63,inception_next_small.sail_in1k,0.9893,0.9454,0.7395,0.8208,0.9298,3.0142605468261005e-05
FINALTEST,inception_next_small.sail_in1k,0.9868,0.7616,0.7059,0.7318,0.8932,3.0142605468261005e-05
