Epoch,Model,Accuracy,Precision,Recall,F1,AUC,LR
0,inception_next_small.sail_in1k,0.977,0.7728,0.8465,0.793,0.9693,0.0001
1,inception_next_small.sail_in1k,0.9869,0.832,0.7886,0.8046,0.9574,9.997532801828658e-05
2,inception_next_small.sail_in1k,0.9817,0.7624,0.8374,0.7929,0.9814,9.990133642141359e-05
3,inception_next_small.sail_in1k,0.9868,0.8961,0.7565,0.8116,0.9345,9.977809823015401e-05
4,inception_next_small.sail_in1k,0.9826,0.8506,0.7651,0.7723,0.9462,9.960573506572391e-05
5,inception_next_small.sail_in1k,0.9846,0.8668,0.7462,0.7762,0.8892,9.93844170297569e-05
6,inception_next_small.sail_in1k,0.9876,0.827,0.793,0.8087,0.9207,9.911436253643445e-05
7,inception_next_small.sail_in1k,0.983,0.8543,0.811,0.8247,0.9248,9.879583809693738e-05
8,inception_next_small.sail_in1k,0.9838,0.8611,0.7786,0.8032,0.9285,9.842915805643157e-05
9,inception_next_small.sail_in1k,0.9864,0.8467,0.789,0.8161,0.9221,9.801468428384717e-05
10,inception_next_small.sail_in1k,0.9841,0.8189,0.7972,0.8066,0.9445,9.75528258147577e-05
11,inception_next_small.sail_in1k,0.9865,0.8884,0.729,0.7809,0.9662,9.70440384477113e-05
12,inception_next_small.sail_in1k,0.989,0.8873,0.7881,0.8321,0.955,9.64888242944126e-05
13,inception_next_small.sail_in1k,0.9865,0.8473,0.7908,0.8174,0.9562,9.588773128419907e-05
14,inception_next_small.sail_in1k,0.9876,0.9097,0.7496,0.8138,0.9642,9.5241352623301e-05
15,inception_next_small.sail_in1k,0.9851,0.8309,0.7273,0.7726,0.9518,9.455032620941843e-05
16,inception_next_small.sail_in1k,0.988,0.8783,0.7283,0.7909,0.9781,9.381533400219321e-05
17,inception_next_small.sail_in1k,0.9856,0.8319,0.7436,0.7823,0.9482,9.303710135019722e-05
18,inception_next_small.sail_in1k,0.9858,0.8348,0.8049,0.8186,0.9717,9.22163962751008e-05
19,inception_next_small.sail_in1k,0.9859,0.844,0.7817,0.8108,0.9706,9.135402871372814e-05
20,inception_next_small.sail_in1k,0.9854,0.8499,0.7007,0.7619,0.9639,9.045084971874742e-05
21,inception_next_small.sail_in1k,0.9857,0.8313,0.749,0.785,0.9748,8.950775061878456e-05
22,inception_next_small.sail_in1k,0.9845,0.8665,0.7789,0.8066,0.9687,8.852566213878951e-05
23,inception_next_small.sail_in1k,0.9856,0.8345,0.7977,0.8149,0.9789,8.750555348152303e-05
24,inception_next_small.sail_in1k,0.9853,0.8755,0.7684,0.8071,0.9702,8.644843137107063e-05
25,inception_next_small.sail_in1k,0.9884,0.8714,0.7951,0.8302,0.9664,8.535533905932742e-05
26,inception_next_small.sail_in1k,0.9877,0.9306,0.683,0.7714,0.9649,8.422735529643448e-05
27,inception_next_small.sail_in1k,0.9858,0.882,0.727,0.7765,0.9319,8.306559326618263e-05
28,inception_next_small.sail_in1k,0.9888,0.96,0.7179,0.8093,0.9784,8.187119948743452e-05
29,inception_next_small.sail_in1k,0.9869,0.907,0.7369,0.805,0.9798,8.064535268264887e-05
30,inception_next_small.sail_in1k,0.9873,0.8796,0.7102,0.778,0.946,7.938926261462371e-05
31,inception_next_small.sail_in1k,0.9875,0.8629,0.7353,0.7902,0.9744,7.810416889260659e-05
32,inception_next_small.sail_in1k,0.9868,0.8998,0.7095,0.7762,0.9622,7.679133974894988e-05
FINALTEST,inception_next_small.sail_in1k,0.9875,0.782,0.6901,0.7298,0.9865,7.679133974894988e-05
