Epoch,Model,Accuracy,Precision,Recall,F1,AUC,LR
0,inception_next_small.sail_in1k,0.9617,0.7284,0.8573,0.7527,0.9761,0.0001
1,inception_next_small.sail_in1k,0.9658,0.7843,0.81,0.7505,0.9711,9.997532801828658e-05
2,inception_next_small.sail_in1k,0.9864,0.8276,0.7849,0.8005,0.9759,9.990133642141359e-05
3,inception_next_small.sail_in1k,0.9871,0.86,0.7803,0.8167,0.96,9.977809823015401e-05
4,inception_next_small.sail_in1k,0.9884,0.9159,0.7487,0.8116,0.8938,9.960573506572391e-05
5,inception_next_small.sail_in1k,0.9807,0.7915,0.8263,0.8014,0.9649,9.93844170297569e-05
6,inception_next_small.sail_in1k,0.9879,0.9064,0.8038,0.8487,0.9407,9.911436253643445e-05
7,inception_next_small.sail_in1k,0.9858,0.8833,0.7978,0.8346,0.9313,9.879583809693738e-05
8,inception_next_small.sail_in1k,0.9875,0.857,0.7983,0.8258,0.9731,9.842915805643157e-05
9,inception_next_small.sail_in1k,0.9863,0.8491,0.7801,0.812,0.9439,9.801468428384717e-05
10,inception_next_small.sail_in1k,0.9878,0.854,0.7586,0.8006,0.9591,9.75528258147577e-05
11,inception_next_small.sail_in1k,0.9887,0.9432,0.7303,0.8137,0.9742,9.70440384477113e-05
12,inception_next_small.sail_in1k,0.9854,0.8311,0.7381,0.779,0.9303,9.64888242944126e-05
13,inception_next_small.sail_in1k,0.9846,0.8151,0.7664,0.7853,0.9243,9.588773128419907e-05
14,inception_next_small.sail_in1k,0.9879,0.8403,0.7265,0.7743,0.9359,9.5241352623301e-05
15,inception_next_small.sail_in1k,0.9863,0.8967,0.7384,0.8018,0.9681,9.455032620941843e-05
16,inception_next_small.sail_in1k,0.9856,0.8791,0.7668,0.8083,0.954,9.381533400219321e-05
17,inception_next_small.sail_in1k,0.9871,0.8621,0.7768,0.8153,0.9787,9.303710135019722e-05
18,inception_next_small.sail_in1k,0.9879,0.9416,0.7158,0.8025,0.9696,9.22163962751008e-05
19,inception_next_small.sail_in1k,0.9887,0.8905,0.7773,0.826,0.9584,9.135402871372814e-05
20,inception_next_small.sail_in1k,0.9872,0.8672,0.7714,0.8138,0.9849,9.045084971874742e-05
21,inception_next_small.sail_in1k,0.9874,0.8648,0.7299,0.7873,0.9633,8.950775061878456e-05
22,inception_next_small.sail_in1k,0.9873,0.9233,0.7209,0.8005,0.9721,8.852566213878951e-05
23,inception_next_small.sail_in1k,0.9867,0.967,0.6345,0.7402,0.9699,8.750555348152303e-05
24,inception_next_small.sail_in1k,0.9864,0.859,0.7135,0.7741,0.9729,8.644843137107063e-05
25,inception_next_small.sail_in1k,0.9879,0.9328,0.7247,0.8063,0.9831,8.535533905932742e-05
26,inception_next_small.sail_in1k,0.9874,0.8619,0.7858,0.8207,0.9737,8.422735529643448e-05
FINALTEST,inception_next_small.sail_in1k,0.9865,0.8297,0.7076,0.7565,0.9815,8.422735529643448e-05
