Epoch,Model,Accuracy,Precision,Recall,F1,AUC,LR
0,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9562,0.7242,0.9006,0.7663,0.9838,0.0001
1,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9776,0.7496,0.8937,0.8049,0.9862,9.997532801828658e-05
2,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.7816,0.8507,0.8013,0.9625,9.990133642141359e-05
3,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9734,0.7604,0.8631,0.7859,0.9731,9.977809823015401e-05
4,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9589,0.7251,0.8707,0.7505,0.9806,9.960573506572391e-05
5,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9752,0.7647,0.8387,0.7844,0.9435,9.93844170297569e-05
6,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9806,0.7643,0.8911,0.8159,0.9824,9.911436253643445e-05
7,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9817,0.7979,0.8249,0.8052,0.9776,9.879583809693738e-05
8,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9867,0.8439,0.807,0.8242,0.9701,9.842915805643157e-05
9,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9874,0.8531,0.8036,0.827,0.9797,9.801468428384717e-05
10,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9874,0.86,0.7894,0.822,0.9711,9.75528258147577e-05
11,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9866,0.8397,0.8159,0.8264,0.9795,9.70440384477113e-05
12,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9837,0.8118,0.8274,0.8152,0.9805,9.64888242944126e-05
13,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9875,0.8255,0.793,0.808,0.9517,9.588773128419907e-05
14,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9782,0.7781,0.8415,0.796,0.9805,9.5241352623301e-05
15,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9863,0.8062,0.8015,0.8038,0.9859,9.455032620941843e-05
16,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9869,0.8433,0.816,0.8283,0.9818,9.381533400219321e-05
17,tiny_vit_21m_224.dist_in22k_ft_in1k,0.988,0.8635,0.8003,0.8299,0.9798,9.303710135019722e-05
18,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9862,0.8395,0.8014,0.8193,0.9829,9.22163962751008e-05
19,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9854,0.8266,0.8208,0.8214,0.9788,9.135402871372814e-05
20,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9866,0.8414,0.8105,0.8247,0.9823,9.045084971874742e-05
21,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9824,0.8025,0.8233,0.8077,0.9832,8.950775061878456e-05
22,tiny_vit_21m_224.dist_in22k_ft_in1k,0.988,0.8543,0.8199,0.8359,0.9814,8.852566213878951e-05
23,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9866,0.8459,0.798,0.8206,0.9795,8.750555348152303e-05
24,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9872,0.871,0.7661,0.8116,0.9768,8.644843137107063e-05
25,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9876,0.9007,0.7448,0.8046,0.9771,8.535533905932742e-05
26,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9866,0.8397,0.8159,0.8264,0.9757,8.422735529643448e-05
27,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9882,0.8803,0.7771,0.8223,0.9672,8.306559326618263e-05
28,tiny_vit_21m_224.dist_in22k_ft_in1k,0.988,0.8665,0.7949,0.8281,0.974,8.187119948743452e-05
29,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,8.064535268264887e-05
30,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,7.938926261462371e-05
31,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,7.810416889260659e-05
32,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,7.679133974894988e-05
33,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,7.545207078751862e-05
34,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,7.408768370508582e-05
35,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,7.26995249869774e-05
36,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,7.12889645782537e-05
37,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,6.985739453173908e-05
38,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,6.840622763423397e-05
39,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,6.693689601226464e-05
40,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,6.545084971874744e-05
41,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,6.394955530196154e-05
42,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,6.24344943582428e-05
FINALTEST,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,6.24344943582428e-05
