Epoch,Model,Accuracy,Precision,Recall,F1,AUC,LR
0,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9618,0.7286,0.8574,0.7529,0.9759,0.0001
1,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9757,0.7664,0.8371,0.7854,0.9684,9.997532801828658e-05
2,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9862,0.8347,0.8175,0.8245,0.9664,9.990133642141359e-05
3,tiny_vit_21m_224.dist_in22k_ft_in1k,0.978,0.6609,0.8486,0.7327,0.9733,9.977809823015401e-05
4,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9835,0.8083,0.8469,0.8199,0.987,9.960573506572391e-05
5,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9686,0.7438,0.8507,0.7678,0.9809,9.93844170297569e-05
6,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9886,0.8969,0.7684,0.8218,0.9797,9.911436253643445e-05
7,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9864,0.8034,0.814,0.8086,0.9807,9.879583809693738e-05
8,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9842,0.7313,0.8329,0.7761,0.9805,9.842915805643157e-05
9,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9879,0.867,0.7913,0.8261,0.9824,9.801468428384717e-05
10,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9863,0.8439,0.7926,0.8167,0.9782,9.75528258147577e-05
11,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9867,0.842,0.8123,0.826,0.9756,9.70440384477113e-05
12,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9865,0.8356,0.8265,0.8291,0.9704,9.64888242944126e-05
13,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9863,0.8395,0.805,0.8211,0.9725,9.588773128419907e-05
14,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9882,0.8641,0.8021,0.8311,0.9801,9.5241352623301e-05
15,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9894,0.9077,0.774,0.8292,0.9805,9.455032620941843e-05
16,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9882,0.8681,0.795,0.8288,0.981,9.381533400219321e-05
17,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9867,0.8451,0.8034,0.823,0.9775,9.303710135019722e-05
18,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9885,0.8454,0.7862,0.8118,0.9704,9.22163962751008e-05
19,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9865,0.7996,0.8319,0.8145,0.9726,9.135402871372814e-05
20,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9884,0.8737,0.7915,0.8289,0.9626,9.045084971874742e-05
21,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9876,0.8528,0.8108,0.8306,0.9503,8.950775061878456e-05
22,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9882,0.8424,0.7825,0.8084,0.9235,8.852566213878951e-05
23,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,8.750555348152303e-05
24,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,8.644843137107063e-05
25,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,8.535533905932742e-05
26,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,8.422735529643448e-05
27,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,8.306559326618263e-05
28,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,8.187119948743452e-05
29,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,8.064535268264887e-05
30,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,7.938926261462371e-05
31,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,7.810416889260659e-05
32,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,7.679133974894988e-05
33,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,7.545207078751862e-05
34,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,7.408768370508582e-05
FINALTEST,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,7.408768370508582e-05
