Epoch,Model,Accuracy,Precision,Recall,F1,AUC,LR
0,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9474,0.7126,0.9066,0.7522,0.9637,0.0001
1,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9307,0.6956,0.9027,0.7281,0.9718,9.997532801828658e-05
2,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9767,0.7192,0.8844,0.7836,0.9782,9.990133642141359e-05
3,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9841,0.8143,0.8275,0.8168,0.9837,9.977809823015401e-05
4,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9871,0.8581,0.7839,0.818,0.9822,9.960573506572391e-05
5,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9843,0.8205,0.8745,0.844,0.9848,9.93844170297569e-05
6,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9832,0.8072,0.8325,0.8141,0.9802,9.911436253643445e-05
7,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9869,0.8453,0.8665,0.8554,0.9829,9.879583809693738e-05
8,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9875,0.8186,0.8072,0.8128,0.9833,9.842915805643157e-05
9,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9862,0.8366,0.7491,0.7875,0.9799,9.801468428384717e-05
10,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9814,0.7957,0.8248,0.8037,0.9799,9.75528258147577e-05
11,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9874,0.8462,0.8215,0.8325,0.986,9.70440384477113e-05
12,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9884,0.8747,0.8385,0.8551,0.9844,9.64888242944126e-05
13,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9878,0.8746,0.777,0.8202,0.9851,9.588773128419907e-05
14,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9877,0.8599,0.7984,0.8272,0.9829,9.5241352623301e-05
15,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9869,0.8514,0.7946,0.8213,0.9822,9.455032620941843e-05
16,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9872,0.866,0.7732,0.8145,0.9842,9.381533400219321e-05
17,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9876,0.8155,0.818,0.8167,0.9811,9.303710135019722e-05
18,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,9.22163962751008e-05
19,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,9.135402871372814e-05
20,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,9.045084971874742e-05
21,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,8.950775061878456e-05
22,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,8.852566213878951e-05
23,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,8.750555348152303e-05
24,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,8.644843137107063e-05
25,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,8.535533905932742e-05
26,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,8.422735529643448e-05
27,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,8.306559326618263e-05
FINALTEST,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9789,0.3263,0.3333,0.3298,0.0,8.306559326618263e-05
